time (us),x (mdps),y (mdps),z(mdps)
1759266320879842,708.75,-332.5,1023.75,
1759266320882745,542.5,-358.75,1015,
1759266320885592,542.5,-726.25,962.5,
1759266320888495,437.5,-568.75,1128.75,
1759266320891470,481.25,-463.75,1163.75,
1759266320894272,560,-630,988.75,
1759266320897026,673.75,-271.25,796.25,
1759266320899896,892.5,-148.75,367.5,
1759266320902820,752.5,-61.25,288.75,
1759266320905677,603.75,-358.75,157.5,
1759266320908493,551.25,-245,297.5,
1759266320911162,245,-43.75,-52.5,
1759266320913993,262.5,-708.75,-306.25,
1759266320916690,586.25,-778.75,-420,
1759266320919455,288.75,-787.5,-201.25,
1759266320922342,953.75,-691.25,-297.5,
1759266320925106,245,-280,-507.5,
1759266320927770,210,-682.5,-822.5,
1759266320930521,516.25,-621.25,-892.5,
1759266320933283,245,-411.25,-805,
1759266320936041,-105,-52.5,-385,
1759266320938750,-218.75,-708.75,-437.5,
1759266320941659,-332.5,-568.75,-367.5,
1759266320944497,-148.75,-953.75,-621.25,
1759266320947321,52.5,-1015,-665,
1759266320950012,-551.25,-682.5,-455,
1759266320952784,-420,-577.5,-227.5,
1759266320955663,8.75,-437.5,-455,
1759266320958493,-201.25,-271.25,-411.25,
1759266320961444,-52.5,-175,-306.25,
1759266320964175,-437.5,-560,-8.75,
1759266320967009,-315,-498.75,-105,
1759266320969785,87.5,-1032.5,245,
1759266320972531,-446.25,-1067.5,-113.75,
1759266320975781,0,-988.75,236.25,
1759266320978508,-113.75,-997.5,280,
1759266320981273,43.75,-743.75,411.25,
1759266320984030,218.75,-647.5,227.5,
1759266320986773,332.5,-341.25,236.25,
1759266320989693,306.25,-525,166.25,
1759266320992798,236.25,-140,481.25,
1759266320995505,288.75,-595,778.75,
1759266320998269,420,-568.75,743.75,
1759266321000966,157.5,-665,787.5,
